sIP,dIP,sPort,dPort,protocol,packets,bytes,flags,sTime,duration,eTime,sensor,in,out,nhIP,initialFlags,sessionFlags,attributes,application,class,type,sTime+msec,eTime+msec,dur+msec,iType,iCode,scc,dcc
192.168.1.12,224.0.0.22,0,0,2,2,80,,1445738706.255,1.019,1445738707.274,S0,0,0,0.0.0.0,,,S,0,all,out,1445738706.255,1445738707.274,1.019,,,--,--
192.168.1.3,224.0.0.252,65212,5355,17,2,114,,1445738721.610,0.103,1445738721.713,S0,0,0,0.0.0.0,,,S,53,all,out,1445738721.610,1445738721.713,0.103,,,--,--
192.168.1.3,224.0.0.252,60008,5355,17,2,114,,1445738781.619,0.102,1445738781.721,S0,0,0,0.0.0.0,,,S,53,all,out,1445738781.619,1445738781.721,0.102,,,--,--
192.168.1.3,224.0.0.252,52093,5355,17,2,114,,1445738841.628,0.102,1445738841.730,S0,0,0,0.0.0.0,,,S,53,all,out,1445738841.628,1445738841.730,0.102,,,--,--
192.168.1.3,224.0.0.252,54093,5355,17,2,114,,1445738901.636,0.103,1445738901.739,S0,0,0,0.0.0.0,,,S,53,all,out,1445738901.636,1445738901.739,0.103,,,--,--
192.168.1.3,239.255.255.250,49728,1900,17,12,1932,,1445738863.749,74.036,1445738937.785,S0,0,0,0.0.0.0,,,S,80,all,out,1445738863.749,1445738937.785,74.036,,,--,--
192.168.1.3,224.0.0.252,64707,5355,17,2,114,,1445738961.644,0.102,1445738961.746,S0,0,0,0.0.0.0,,,S,53,all,out,1445738961.644,1445738961.746,0.102,,,--,--
192.168.1.3,224.0.0.252,54877,5355,17,2,114,,1445739021.653,0.102,1445739021.755,S0,0,0,0.0.0.0,,,S,53,all,out,1445739021.653,1445739021.755,0.102,,,--,--
192.168.1.3,224.0.0.252,57899,5355,17,2,114,,1445739081.661,0.103,1445739081.764,S0,0,0,0.0.0.0,,,S,53,all,out,1445739081.661,1445739081.764,0.103,,,--,--
192.168.1.8,224.0.0.251,5353,5353,17,52,21149,,1445739088.420,18.741,1445739107.161,S0,0,0,0.0.0.0,,,,53,all,out,1445739088.420,1445739107.161,18.741,,,--,--
192.168.1.3,224.0.0.252,50281,5355,17,2,114,,1445739141.670,0.102,1445739141.772,S0,0,0,0.0.0.0,,,S,53,all,out,1445739141.670,1445739141.772,0.102,,,--,--
192.168.1.3,224.0.0.252,54835,5355,17,2,114,,1445739201.678,0.102,1445739201.780,S0,0,0,0.0.0.0,,,S,53,all,out,1445739201.678,1445739201.780,0.102,,,--,--
192.168.1.12,224.0.0.22,0,0,2,2,80,,1445739239.568,2.048,1445739241.616,S0,0,0,0.0.0.0,,,S,0,all,out,1445739239.568,1445739241.616,2.048,,,--,--
192.168.1.3,224.0.0.252,55111,5355,17,2,114,,1445739261.688,0.101,1445739261.789,S0,0,0,0.0.0.0,,,S,53,all,out,1445739261.688,1445739261.789,0.101,,,--,--
